wvl	c7101904
782	0.99426
783	0.992663
784	0.990866
785	0.988494
786	0.98718
787	0.990891
788	0.99325
789	0.992853
790	0.99254
791	0.993368
792	0.994074
793	0.992415
794	0.99043
795	0.992239
796	0.993121
797	0.991487
798	0.989073
799	0.991806
800	0.995445
801	0.992798
802	0.989146
803	0.989559
804	0.992909
805	0.991578
806	0.986939
807	0.98874
808	0.989966
809	0.99065
810	0.991805
811	0.990199
812	0.991206
813	0.993805
814	0.991551
815	0.988519
816	0.99144
817	0.993138
818	0.993757
819	0.99258
820	0.991193
821	0.990858
822	0.992654
823	0.993138
824	0.991073
825	0.986934
826	0.987497
827	0.989957
828	0.991865
829	0.990299
830	0.990746
831	0.99245
832	0.990176
833	0.989043
834	0.988277
835	0.990814
836	0.993479
837	0.991734
838	0.991055
839	0.992781
840	0.99164
841	0.992251
842	0.992689
843	0.99099
844	0.991564
845	0.990503
846	0.989511
847	0.993602
848	0.995375
849	0.992972
850	0.990079
851	0.9921
852	0.995301
853	0.997266
854	0.993823
855	0.989741
856	0.987994
857	0.992555
858	0.995013
859	0.993874
860	0.993119
861	0.990922
862	0.99001
863	0.993039
864	0.993822
865	0.989054
866	0.98528
867	0.98767
868	0.988082
869	0.991467
870	0.993979
871	0.990036
872	0.988883
873	0.991325
874	0.991505
875	0.992788
876	0.992871
877	0.99129
878	0.988791
879	0.989318
880	0.992008
881	0.993897
882	0.991506
883	0.988287
884	0.99037
885	0.993721
886	0.99514
887	0.994111
888	0.990575
889	0.989863
890	0.990898
891	0.991149
892	0.992391
893	0.990334
894	0.988777
895	0.988502
896	0.988557
897	0.990167
898	0.989848
899	0.98892
900	0.989426
901	0.989901
902	0.989121
903	0.98955
904	0.989587
905	0.990169
906	0.989909
907	0.989674
908	0.990681
909	0.990612
910	0.990065
911	0.990288
912	0.990951
913	0.991958
914	0.991831
915	0.99111
916	0.99087
917	0.99051
918	0.989294
919	0.989864
920	0.991273
921	0.990886
922	0.99022
923	0.990289
924	0.990179
925	0.988115
926	0.988185
927	0.989845
928	0.990667
929	0.989745
930	0.988335
931	0.989261
932	0.990323
933	0.992811
934	0.993167
935	0.989853
936	0.98955
937	0.988962
938	0.989092
939	0.992132
940	0.991818
941	0.99048
942	0.99262
943	0.992161
944	0.989424
945	0.988956
946	0.988664
947	0.988449
948	0.98764
949	0.988016
950	0.989319
951	0.988318
952	0.988898
953	0.990699
954	0.989783
955	0.989729
956	0.990246
957	0.989597
958	0.98851
959	0.987522
960	0.988863
961	0.988663
962	0.987888
963	0.988785
964	0.989305
965	0.989122
966	0.990727
967	0.991046
968	0.991206
969	0.990207
970	0.98945
971	0.990725
972	0.991612
973	0.990845
974	0.989738
975	0.989997
976	0.99168
977	0.992182
978	0.990472
979	0.990635
980	0.990729
981	0.990165
982	0.989866
983	0.991397
984	0.993114
985	0.992955
986	0.992112
987	0.992241
988	0.990975
989	0.99175
990	0.992223
991	0.989724
992	0.988445
993	0.990599
994	0.991683
995	0.991967
996	0.991044
997	0.989534
998	0.989409
999	0.989762
1000	0.988788
1001	0.989175
1002	0.989637
1003	0.989921
1004	0.988773
1005	0.988052
1006	0.98846
1007	0.989274
1008	0.9891
1009	0.989189
1010	0.990377
1011	0.989731
1012	0.989073
1013	0.990197
1014	0.990944
1015	0.990985
1016	0.990043
1017	0.989323
1018	0.989442
1019	0.988879
1020	0.987466
1021	0.988948
1022	0.990131
1023	0.99034
1024	0.98863
1025	0.989007
1026	0.990319
1027	0.988702
1028	0.988282
1029	0.989137
1030	0.989438
1031	0.989464
1032	0.988648
1033	0.987431
1034	0.987876
1035	0.987042
1036	0.987193
1037	0.990278
1038	0.990667
1039	0.988676
1040	0.988085
1041	0.988786
1042	0.989554
1043	0.990073
1044	0.989106
1045	0.989664
1046	0.989801
1047	0.989389
1048	0.989357
1049	0.989716
1050	0.988553
1051	0.988255
1052	0.990676
1053	0.991028
1054	0.990215
1055	0.989115
1056	0.989914
1057	0.990156
1058	0.989162
1059	0.987662
1060	0.987171
1061	0.988683
1062	0.990446
1063	0.987962
1064	0.986776
1065	0.988468
1066	0.988293
1067	0.987336
1068	0.98918
1069	0.990116
1070	0.989029
1071	0.988669
1072	0.989875
1073	0.989476
1074	0.989084
1075	0.989493
1076	0.989348
1077	0.989522
1078	0.988885
1079	0.987539
1080	0.987914
1081	0.988975
1082	0.989289
1083	0.989935
1084	0.989852
1085	0.990132
1086	0.991093
1087	0.990966
1088	0.990298
1089	0.989525
1090	0.989393
1091	0.988541
1092	0.988419
1093	0.988573
1094	0.987892
1095	0.988096
1096	0.987504
1097	0.986982
1098	0.988039
1099	0.988184
1100	0.987927
1101	0.988826
1102	0.989119
1103	0.98986
1104	0.989292
1105	0.989675
1106	0.989061
1107	0.988719
1108	0.988514
1109	0.988592
1110	0.989413
1111	0.989758
1112	0.989379
1113	0.990179
1114	0.990395
1115	0.9895
1116	0.988813
1117	0.988657
1118	0.989325
1119	0.990632
1120	0.991823
1121	0.991353
1122	0.989382
1123	0.989008
1124	0.989397
1125	0.98975
1126	0.988956
1127	0.989811
1128	0.990409
1129	0.990154
1130	0.989183
1131	0.989174
1132	0.99027
1133	0.990139
1134	0.98973
1135	0.989394
1136	0.988455
1137	0.989579
1138	0.989712
1139	0.987947
1140	0.989271
1141	0.988572
1142	0.987529
1143	0.987457
1144	0.988374
1145	0.988944
1146	0.988206
1147	0.989087
1148	0.989467
1149	0.988412
1150	0.98728
1151	0.986568
1152	0.988886
1153	0.989419
1154	0.988658
1155	0.988185
1156	0.986883
1157	0.988278
1158	0.989233
